"","Year","League","Date","Month","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","goals1","goals2","TG"
"1","1516","Germany1",2015-08-14,8,"Bayern Munich","Hamburg",5,0,"H",1,0,"H",1,4,5
"2","1516","Germany1",2015-08-15,8,"Augsburg","Hertha",0,1,"A",0,0,"D",0,1,1
"3","1516","Germany1",2015-08-15,8,"Darmstadt","Hannover",2,2,"D",1,0,"H",1,3,4
"4","1516","Germany1",2015-08-15,8,"Dortmund","M'gladbach",4,0,"H",3,0,"H",3,1,4
"5","1516","Germany1",2015-08-15,8,"Leverkusen","Hoffenheim",2,1,"H",1,1,"D",2,1,3
"6","1516","Germany1",2015-08-15,8,"Mainz","Ingolstadt",0,1,"A",0,0,"D",0,1,1
"7","1516","Germany1",2015-08-15,8,"Werder Bremen","Schalke 04",0,3,"A",0,1,"A",1,2,3
"8","1516","Germany1",2015-08-16,8,"Stuttgart","FC Koln",1,3,"A",0,0,"D",0,4,4
"9","1516","Germany1",2015-08-16,8,"Wolfsburg","Ein Frankfurt",2,1,"H",2,1,"H",3,0,3
"10","1516","Germany1",2015-08-21,8,"Hertha","Werder Bremen",1,1,"D",1,1,"D",2,0,2
"11","1516","Germany1",2015-08-22,8,"Ein Frankfurt","Augsburg",1,1,"D",0,1,"A",1,1,2
"12","1516","Germany1",2015-08-22,8,"FC Koln","Wolfsburg",1,1,"D",1,0,"H",1,1,2
"13","1516","Germany1",2015-08-22,8,"Hamburg","Stuttgart",3,2,"H",1,2,"A",3,2,5
"14","1516","Germany1",2015-08-22,8,"Hannover","Leverkusen",0,1,"A",0,1,"A",1,0,1
"15","1516","Germany1",2015-08-22,8,"Hoffenheim","Bayern Munich",1,2,"A",1,1,"D",2,1,3
"16","1516","Germany1",2015-08-22,8,"Schalke 04","Darmstadt",1,1,"D",0,1,"A",1,1,2
"17","1516","Germany1",2015-08-23,8,"Ingolstadt","Dortmund",0,4,"A",0,0,"D",0,4,4
"18","1516","Germany1",2015-08-23,8,"M'gladbach","Mainz",1,2,"A",0,1,"A",1,2,3
"19","1516","Germany1",2015-08-28,8,"Wolfsburg","Schalke 04",3,0,"H",1,0,"H",1,2,3
"20","1516","Germany1",2015-08-29,8,"Augsburg","Ingolstadt",0,1,"A",0,0,"D",0,1,1
"21","1516","Germany1",2015-08-29,8,"Bayern Munich","Leverkusen",3,0,"H",1,0,"H",1,2,3
"22","1516","Germany1",2015-08-29,8,"Darmstadt","Hoffenheim",0,0,"D",0,0,"D",0,0,0
"23","1516","Germany1",2015-08-29,8,"FC Koln","Hamburg",2,1,"H",0,0,"D",0,3,3
"24","1516","Germany1",2015-08-29,8,"Mainz","Hannover",3,0,"H",2,0,"H",2,1,3
"25","1516","Germany1",2015-08-29,8,"Stuttgart","Ein Frankfurt",1,4,"A",1,2,"A",3,2,5
"26","1516","Germany1",2015-08-30,8,"Dortmund","Hertha",3,1,"H",1,0,"H",1,3,4
"27","1516","Germany1",2015-08-30,8,"Werder Bremen","M'gladbach",2,1,"H",1,1,"D",2,1,3
"28","1516","Germany1",2015-09-11,9,"M'gladbach","Hamburg",0,3,"A",0,2,"A",2,1,3
"29","1516","Germany1",2015-09-12,9,"Bayern Munich","Augsburg",2,1,"H",0,1,"A",1,2,3
"30","1516","Germany1",2015-09-12,9,"Ein Frankfurt","FC Koln",6,2,"H",4,1,"H",5,3,8
"31","1516","Germany1",2015-09-12,9,"Hannover","Dortmund",2,4,"A",1,2,"A",3,3,6
"32","1516","Germany1",2015-09-12,9,"Hertha","Stuttgart",2,1,"H",2,1,"H",3,0,3
"33","1516","Germany1",2015-09-12,9,"Ingolstadt","Wolfsburg",0,0,"D",0,0,"D",0,0,0
"34","1516","Germany1",2015-09-12,9,"Leverkusen","Darmstadt",0,1,"A",0,1,"A",1,0,1
"35","1516","Germany1",2015-09-13,9,"Hoffenheim","Werder Bremen",1,3,"A",0,1,"A",1,3,4
"36","1516","Germany1",2015-09-13,9,"Schalke 04","Mainz",2,1,"H",1,1,"D",2,1,3
"37","1516","Germany1",2015-09-18,9,"Mainz","Hoffenheim",3,1,"H",1,1,"D",2,2,4
"38","1516","Germany1",2015-09-19,9,"Darmstadt","Bayern Munich",0,3,"A",0,1,"A",1,2,3
"39","1516","Germany1",2015-09-19,9,"FC Koln","M'gladbach",1,0,"H",0,0,"D",0,1,1
"40","1516","Germany1",2015-09-19,9,"Hamburg","Ein Frankfurt",0,0,"D",0,0,"D",0,0,0
"41","1516","Germany1",2015-09-19,9,"Werder Bremen","Ingolstadt",0,1,"A",0,0,"D",0,1,1
"42","1516","Germany1",2015-09-19,9,"Wolfsburg","Hertha",2,0,"H",0,0,"D",0,2,2
"43","1516","Germany1",2015-09-20,9,"Augsburg","Hannover",2,0,"H",2,0,"H",2,0,2
"44","1516","Germany1",2015-09-20,9,"Dortmund","Leverkusen",3,0,"H",1,0,"H",1,2,3
"45","1516","Germany1",2015-09-20,9,"Stuttgart","Schalke 04",0,1,"A",0,0,"D",0,1,1
"46","1516","Germany1",2015-09-22,9,"Bayern Munich","Wolfsburg",5,1,"H",0,1,"A",1,5,6
"47","1516","Germany1",2015-09-22,9,"Darmstadt","Werder Bremen",2,1,"H",1,1,"D",2,1,3
"48","1516","Germany1",2015-09-22,9,"Hertha","FC Koln",2,0,"H",1,0,"H",1,1,2
"49","1516","Germany1",2015-09-22,9,"Ingolstadt","Hamburg",0,1,"A",0,0,"D",0,1,1
"50","1516","Germany1",2015-09-23,9,"Hannover","Stuttgart",1,3,"A",1,2,"A",3,1,4
"51","1516","Germany1",2015-09-23,9,"Hoffenheim","Dortmund",1,1,"D",1,0,"H",1,1,2
